plot_id	year	period	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc
943	2006	1	4	72464.6210028284	644479.275730144	NA
944	2006	1	4	7387.93316080897	13518.3457836079	NA
945	2006	1	5	4715.70201753764	10374.5444385828	NA
947	2006	1	5	18548.4279356481	32852.7240555122	NA
948	2006	1	5	10846.1146403366	21220.6590789194	NA
949	2006	1	6	68063.2991197933	637562.912771089	NA
950	2006	1	3	7545.12322806022	13675.5358508592	NA
951	2006	1	2	15404.626590623	29237.3525087334	NA
952	2006	1	4	93999.6602162503	674188.198440631	NA
953	2006	1	3	66334.2083800295	633161.590888054	NA
954	2006	1	5	10374.5444385828	19491.5683391556	NA
955	2006	1	5	43541.6486285975	71835.8607338234	NA
956	2006	1	3	66805.7785817832	635833.822031325	NA
958	2006	1	6	93056.5198127428	672144.727566365	NA
959	2006	1	6	67434.5388507883	634419.111426064	NA
960	2006	1	3	39769.0870145674	64290.7375057632	NA
961	2006	1	4	9117.02390057277	16504.9570613817	NA
962	2006	1	4	9588.59410232653	16504.9570613817	NA
963	2006	1	3	3143.80134502509	5501.65235379391	NA
964	2006	1	3	66334.2083800295	635362.251829571	NA
965	2006	1	4	3772.56161403011	7545.12322806022	NA
966	2006	1	3	67591.7289180395	635833.822031325	NA
121000	2006	1	21	1.86214285714286	13.9107142857143	NA
1004	2007	1	2	13518.3457836079	25464.7908947033	NA
1009	2007	1	2	2515.04107602007	4401.32188303513	NA
1011	2007	1	3	628.760269005019	628.760269005019	NA
1018	2007	1	1	157.190067251255	157.190067251255	NA
1019	2007	1	1	157.190067251255	157.190067251255	NA
1022	2007	1	1	1257.52053801004	3143.80134502509	NA
1023	2007	1	1	628.760269005019	628.760269005019	NA
1027	2007	1	1	157.190067251255	157.190067251255	NA
1028	2007	1	1	13203.9656491054	25150.4107602007	NA
1029	2007	1	2	8802.64376607026	16347.7669941305	NA
1035	2007	1	5	46371.0698391201	72779.0011373309	NA
1037	2007	1	1	13203.9656491054	25150.4107602007	NA
1041	2007	1	1	6916.36295905521	12575.2053801004	NA
1046	2007	1	3	39611.8969473162	64133.5474385119	NA
1051	2007	1	3	5187.2722192914	9588.59410232653	NA
1052	2007	1	2	1414.71060526129	3300.99141227635	NA
1053	2007	1	4	8331.0735643165	13989.9159853617	NA
1058	2007	1	3	26250.7412309595	38197.1863420549	NA
1059	2007	1	1	157.190067251255	157.190067251255	NA
1060	2007	1	1	3772.56161403011	6287.60269005019	NA
1062	2007	1	2	39297.5168128137	63819.1673040094	NA
1063	2007	1	2	13832.7259181104	25779.1710292058	NA
1065	2007	1	1	157.190067251255	157.190067251255	NA
1101	2007	1	5	7387.93316080897	13675.5358508592	NA
1102	2007	1	4	9274.21396782403	14933.0563888692	NA
1103	2007	1	5	7230.74309355771	7230.74309355771	NA
1104	2007	1	4	3772.56161403011	3772.56161403011	NA
1105	2007	1	6	20277.5186754119	34110.2445935223	NA
1106	2007	1	3	2515.04107602007	2515.04107602007	NA
1107	2007	1	3	1257.52053801004	1257.52053801004	NA
1108	2007	1	1	4244.13181578388	6759.17289180395	NA
1109	2007	1	3	3300.99141227635	3300.99141227635	NA
1110	2007	1	2	65862.6381782757	631118.120013787	NA
1111	2007	1	5	3143.80134502509	3143.80134502509	NA
1112	2007	1	2	943.140403507528	943.140403507528	NA
1113	2007	1	3	20591.8988099144	32538.3439210097	NA
1114	2007	1	3	63819.1673040094	629074.649139521	NA
1115	2007	1	2	3929.75168128137	6444.79275730144	NA
1116	2007	1	3	2515.04107602007	4401.32188303513	NA
1117	2007	1	2	2357.85100876882	4244.13181578388	NA
1118	2007	1	2	4872.89208478889	7387.93316080897	NA
1119	2007	1	2	16033.386859628	27979.8319707233	NA
1120	2007	1	3	13989.9159853617	25936.361096457	NA
1121	2007	1	3	5501.65235379391	7387.93316080897	NA
1122	2007	1	1	13361.1557163566	25307.600827452	NA
1123	2007	1	4	7702.31329531148	12103.6351783466	NA
1124	2007	1	3	66177.0183127782	633318.780955305	NA
1125	2007	1	5	15876.1967923767	27822.6419034721	NA
1126	2007	1	5	18862.8080701506	30809.2531812459	NA
1127	2007	1	2	64133.5474385119	629389.029274024	NA
1128	2007	1	3	3772.56161403011	5658.84242104517	NA
1129	2007	1	3	27665.4518362208	39611.8969473162	NA
1130	2007	1	5	6601.9828245527	8488.26363156775	NA
1131	2007	1	3	64762.3077075169	630017.789543029	NA
1132	2007	1	4	3615.37154677886	3615.37154677886	NA
1133	2007	1	3	70735.5302630646	637877.292905591	NA
1134	2007	1	3	4401.32188303513	4401.32188303513	NA
1135	2007	1	3	1257.52053801004	1257.52053801004	NA
1136	2007	1	5	75922.802482356	648723.407545928	NA
1137	2007	1	3	3929.75168128137	3929.75168128137	NA
1138	2007	1	4	2829.42121052258	2829.42121052258	NA
1139	2007	1	6	639292.003510853	NA	NA
1140	2007	1	3	3300.99141227635	3300.99141227635	NA
1141	2007	1	3	70578.3401958133	640235.14391436	NA
1142	2007	1	5	17448.0974648893	28765.7823069796	NA
1143	2007	1	5	9588.59410232653	9588.59410232653	NA
1144	2007	1	4	3772.56161403011	3772.56161403011	NA
1145	2007	1	2	3143.80134502509	3143.80134502509	NA
1146	2007	1	2	1886.28080701506	1886.28080701506	NA
1147	2007	1	3	15561.8166578742	25621.9809619545	NA
1148	2007	1	5	21849.4193479244	33795.8644590198	NA
1149	2007	1	4	1571.90067251255	1571.90067251255	NA
1150	2007	1	6	3929.75168128137	3929.75168128137	NA
1151	2007	1	2	3615.37154677886	3615.37154677886	NA
1152	2007	1	5	7230.74309355771	11632.0649765928	NA
1153	2007	1	7	76551.562751361	649980.928083938	NA
1154	2007	1	3	3615.37154677886	7387.93316080897	NA
1155	2007	1	4	3143.80134502509	5030.08215204015	NA
1156	2007	1	4	2357.85100876882	2357.85100876882	NA
1157	2007	1	4	16033.386859628	27979.8319707233	NA
1158	2007	1	3	16976.5272631355	28922.9723742309	NA
1159	2007	1	5	12103.6351783466	22163.7994824269	NA
1160	2007	1	4	70421.1501285621	641335.474385119	NA
1161	2007	1	3	6444.79275730144	8331.0735643165	NA
1162	2007	1	4	8488.26363156775	14775.8663216179	NA
1163	2007	1	8	75608.4223478535	647151.506873415	NA
1164	2007	1	5	9431.40403507528	11317.6848420903	NA
1165	2007	1	3	28294.2121052258	47785.7804443814	NA
1166	2007	1	4	25464.7908947033	44956.3592338588	NA
1167	2007	1	5	72464.6210028284	641492.66445237	NA
1168	2007	1	3	2515.04107602007	4401.32188303513	NA
1169	2007	1	2	27822.6419034721	41655.3678215825	NA
1170	2007	1	2	64290.7375057632	629546.219341275	NA
1171	2007	1	5	10060.1643040803	18234.0478011455	NA
1172	2007	1	2	68063.2991197933	635833.822031325	NA
1173	2007	1	2	5973.22255554768	7859.50336256273	NA
1174	2007	1	2	16662.147128633	28608.5922397284	NA
1175	2007	1	3	26093.5511637083	48100.1605788839	NA
1177	2007	1	5	21377.8491461706	33324.294257266	NA
1178	2007	1	4	17290.907397638	24836.0306256982	NA
1201	2008	1	8	6130.41262279893	9902.97423682904	NA
1202	2008	1	6	13203.9656491054	19491.5683391556	NA
1203	2008	1	3	5187.2722192914	7073.55302630646	NA
1204	2008	1	6	9117.02390057277	14775.8663216179	NA
1205	2008	1	7	3143.80134502509	5030.08215204015	NA
1206	2008	1	8	24836.0306256982	44327.5989648538	NA
1207	2008	1	6	9588.59410232653	13989.9159853617	NA
1208	2008	1	4	5501.65235379391	8488.26363156775	NA
1210	2008	1	4	2986.61127777384	2986.61127777384	NA
1211	2008	1	5	6130.41262279893	10531.7345058341	NA
1212	2008	1	5	2200.66094151757	2200.66094151757	NA
1213	2008	1	7	9588.59410232653	13361.1557163566	NA
1214	2008	1	6	12575.2053801004	22006.6094151757	NA
1215	2008	1	7	11946.4451110954	16976.5272631355	NA
1216	2008	1	3	943.140403507528	943.140403507528	NA
1220	2008	1	6	15719.0067251255	27036.6915672158	NA
1221	2008	1	8	24050.080289442	43541.6486285975	NA
1223	2008	1	6	5973.22255554768	7859.50336256273	NA
1224	2008	1	3	8802.64376607026	16347.7669941305	NA
1225	2008	1	3	4558.51195028639	7073.55302630646	NA
1227	2008	1	6	3615.37154677886	5501.65235379391	NA
1228	2008	1	2	2043.47087426631	3929.75168128137	NA
1229	2008	1	4	1571.90067251255	1571.90067251255	NA
1230	2008	1	4	3458.1814795276	5344.46228654266	NA
1231	2008	1	4	3143.80134502509	5030.08215204015	NA
1232	2008	1	6	4401.32188303513	6287.60269005019	NA
1233	2008	1	2	1729.0907397638	1729.0907397638	NA
1234	2008	1	5	41812.5578888337	66334.2083800295	NA
1235	2008	1	4	3615.37154677886	7387.93316080897	NA
1236	2008	1	3	943.140403507528	943.140403507528	NA
1237	2008	1	5	14147.1060526129	17919.667666643	NA
1238	2008	1	6	67277.348783537	632532.830619049	NA
